time,title,visit,handler,content
2024-06-17,新购电动自行车（全新或二手电动自行车），还能办理新的校园通行证吗？,136,保卫处,若新购电动自行车是出于在校内使用的目的，那么不建议您新购电动自行车。目前，学校已全面实施《电动自行车管理办法（试行）》，原则不再办理新增电动自行车校内通行，因此新购电动自行车将无法在校内使用。 
2024-05-24,请问学3楼下的洗衣房何时重新开业？,232,总务部,同学你好，经过严格筛选，新的服务商已经成功中标，并即将接替原有服务商，为同学们提供服务。目前，原服务商的清退工作正在有条不紊地进行中，在完成清退流程后，新服务商将着手进行各项开业准备工作，并计划在6月中旬正式开业。感谢同学们的理解与支持，祝您一切顺利！
2024-05-24,请问学校操场夏季和冬季开放时间分别是怎样的？以及东操场和排球场附近没有就便的洗手池，是否可以多设置一些水龙头供同学们运动后临时清洁？,164,教务部（研究生院）,   同学你好，学校操场的开放时间，夏季（4月-10月）在6:00-22:30开放，冬季（11月-次年3月）在6:30-22:00开放。 操场开放时间充分考虑了不同师生的诉求、天气等情况。冬季晚间室外温度较低，活动师生较少，因此操场关闭时间定在22:00，且不会影响操场西侧、南侧学生公寓及四合院居民的休息；夏季结束时间有所延长，也比较符合天气和广大师生的起居状况。  学校计划今年暑期改造东操场，洗手池问题届时根据实际情况会酌情考虑。  如果再有类似问题，可拨打58808044及时与我们沟通。
2024-05-24,请问毕业之后，如何申请校友E卡？,242,信息化建设办公室、信息网络中心,同学你好，你可以在微信中搜索小程序“北师大人”，进入小程序后，按照校友会的要求进行校友身份验证，即可申请校友E卡。欢迎同学们毕业之后，积极参与校友会举办的校友活动，常回母校走走看看！
2024-05-24,临近毕业，想要咨询下，我们在毕业后还能使用数字京师、VPN、师大云盘、正版软件、师大邮箱吗？,284,信息化建设办公室、信息网络中心,同学你好，数字京师、VPN、师大云盘毕业后将无法使用，正版软件在离开校园网180天后失效，师大邮箱可以一直使用。谢谢提问，祝你毕业快乐！
2024-05-24,老师您好，大一入学时，校园网免费流量较少，每月免费流量仅为20G，我在校园网中充值了一定量的网费，以供日常使用。在贵中心的努力下，学生免费流量已达100G，极大满足了我们日常需要，在此表示感谢。近日已临近毕业，想问有没有退费的渠道和安排。 谢谢！,258,信息化建设办公室、信息网络中心,答：同学，你好。毕业生的校园卡、校园网账户余额在学校要求的毕业离校时间之后，会统一由学校财经处转账到同学财经综合服务平台绑定的银行卡中，按照往年的毕业工作安排一般在7月上旬能够到账。
2024-04-15,放弃辅修之后，我的辅修学分可以转为主修学分吗？如果可以的话，需要如何申请操作呢？,269,教务部（研究生院）,       同学你好，根据《北京师范大学本科生辅修管理办法》（https://jwb.bnu.edu.cn//docs/2021-11/b297c813ac744903b24ecdbcdb80c0bf.pdf）相关内容，放弃辅修后辅修学分会全部转为主修学分。       放弃辅修具体流程如下：在确定没有辅修欠费后，在北京师范大学教务部网页的“常用下载”处下载“放弃辅修专业修读资格申请表”，填写后按表格要求前往主辅修院系和教务部运行办公室（主楼A111）审核盖章，完成后即可前往主修院系教务处将辅修课程全部转为主修课程。       以后遇到此类问题，您可以先咨询学院的教务员老师或者查阅本科生手册。谢谢！
2024-04-15,请问毕业生学位服有无一些模特或者试穿同学的尺码可供参考呢？学校下发的尺码表有点不知道怎么挑选。,237,教务部（研究生院）,同学你好，学位服整体版型宽松。您可以主要依据自己的身高数据，并参考所提供的尺码表选择相应的学位服尺码。
2024-04-15,请问目前图书馆除了门口两侧的柜子，是否还有面向考研学生的可长期存放柜，或是否有其他便利考研学生的服务？,194,图书馆,同学，您好！主馆的长期手工存包柜位于主馆南门外，英东楼、主馆南区三层，每学期初发一次，可使用1学期。学期中有可能有少量剩余，如有需求可前往主馆一层总借还处咨询。谢谢。
2024-03-27,请问研究生的《北京高校非北京户籍大学生在学凭证》以及高等院校在读大学生就读学校学籍管理部门核实加盖公章的《教育部学籍在线验证报告》如何办理？,106,教务部（研究生院）,（一）研究生均需登录中国高等教育学生信息网（http://www.chsi.com.cn），按规定程序获取《教育部学籍在线验证报告》。（二）申请人持学生证/研究生证到学校保卫处户籍科开具非京籍证明，亦可到主楼C区一层大厅保卫处的自助终端打印非京籍证明。（三）研究生登录研究生系统（ss.graduate.bnu.edu.cn），提交“非京籍在学证明”申请及相关附件。（四）申请人本人持《教育部学籍在线验证报告》（一式一份）、学校保卫处户籍科开具的非京籍证明（一式一份），工作时间前往教务部办理（主楼A区210室）。
2024-03-27,本科生在学证明该怎么申请呢?,109,教务部（研究生院）,本科生要学证明开具，请在本科生学籍管理服务系统 http://bk.bnu.edu.cn办理【数字京师-本科生学籍系统-在学证明、非京籍在学证明、证件补办模块】。相关提问如下： 1.在学证明：办理流程已放在教务部网站，学生申请审核通过后，可以按照短信提示，自助打印【也请转告各院系学工口负责老师，各类找工作、领补助等用途的在学证明，均可在系统上申请】。 2.可信电子证明：登录系统【数字京师-本科生学籍管理服务系统-在学证明】，进行线上申请，审核通过后可在主楼C区一层大厅、主楼A区二层楼道自助打印机进行打印，可信电子证明服务平台下载电子版【补充说明：网址：http://xszm.bnu.edu.cn，在读学生可通过PC端或手机微信端经信息门户统一身份认证，登陆申请可信电子成绩单、绩点证明、在读证明等材料。可信电子成绩单服务的数据来源于教务管理系统、本科生学籍管理服务系统，与自助打印机出具的一致。bb@bnu.edu.cn】。3.非京籍在学证明：户口没有转入学校的同学，在京申请护照、港澳台通行证，需要开具非京籍学生在学证明的，也请登陆系统 -非京籍在学证明模块提交申请，申请审核通过后按照短信要求提交材料，每周二、周四工作时间到主楼A210办理。
2024-03-27,学校教室内上下课铃声过于响，能否根据教室容量大小，调试铃声大小？,305,教务部（研究生院）,同学你好，感谢你的建议。目前的教室铃声是整层楼统一控制，可能会出现个别教室的音量偏大或者偏小。学校计划今年对教学楼楼宇广播进行整体改造，改造后每间教室铃声的音量都可分别控制。如你还有其他问题，可以在工作时间拨打电话58805107联系我们。 
2024-03-27,想对西操场的体育器材提出一些意见和建议。发现西操出现了一批新器材，非常惊喜，但是注意到大部分器材的配重至少是30-60kg不等，大部分根本举不起来。,276,教务部（研究生院）,同学你好，西操场更换的器材是在2024年初进行投放的。在此前有多名同学反映操场器材砝码过于轻，适合零基础或年龄偏大的人员使用。经过与体育与运动学院沟通调研，决定西操采购的器材砝码要比东操场重一些，这样也能让同学在锻炼中能力有所递进。所以如果觉得西操场器材重量不适合自己，可以选择东操场器材进行锻炼。感谢你对学校体育场馆工作的关注和支持，如果再有类似问题，可拨打58808044及时与我们沟通。
2024-03-27,为什么在微信北师大图书馆公众号里的馆藏查询中显示开架借阅的图书，总是预约失败？,105,图书馆,同学您好，五层图书在架不需要预约，直接前往借阅即可，故出现预约失败的对话框。图书可预约范围：所在校园没有可外借的在架图书，位于地下书库（中文预约书、外文预约书）等。谢谢。
2024-03-27,目前校园内圆柏松树等花粉浓度显著增加，学校有安排对相关树木进行高压水枪冲洗花粉或其他处理，来缓解校园师生花粉过敏吗？,277,总务长办公室（后勤管理处）,同学你好，从今年3月8日开始，总务部相关部门就组织专门人员对校园内开花的柏树等用高压水枪冲洗花粉，每天上下午冲洗一遍。期间，因大风天气无法作业外，其他时日每天安排冲洗，以帮助缓解校园师生对花粉的过敏反应。
2024-01-02,党委学工部负责的寒假返乡调研相关事项，具体咨询方式,222,党委学生工作部,寒假调研相关工作，如果属于学工部主责的项目，可以联系58800860具体咨询。
2023-12-14,如何预约参观西城校园（辅仁校园）,495,继续教育与教师培训学院,继续教育与教师培训学院已于2023年6月1日在学校信息门户发布了《关于预约参观西城校园（辅仁校园）的通知》（附链接），你可以按照通知要求通过学院进行申请，具体事宜可以电话咨询杜勇智58805259、毛晓峰58805902两位老师。https://one.bnu.edu.cn/dcp/forward.action?path=/portal/portal&p=pimShow&id=8fa18f5c440d4dc88a56be5753396242&tt=5034ff8df5be4668aa48637b752a73a3
2023-09-21,学生可以通过什么途径，与学校的具体部门进行业务咨询和业务办理呢？,596,党委学生工作部,就医及医药费报销问题  【负责单位】校医院【反馈/查询渠道】咨询电话如下：58805581（就医咨询）58809878（报销咨询）    就业签约派遣有关问题  【负责单位】党委学生工作部【反馈/查询渠道】①咨询电话：职业发展与就业指导中心 58802095②邮件咨询：jiuyezhongxin@bnu.edu.cn  学业/课程/考试等教务问题和教室等公共资源使用问题  【负责单位1】教务部【反馈/查询渠道1】咨询——邮件咨询：jwb@bnu.edu.cn查询——扫二维码查看教务管理常见业务解答【负责单位2】各单位教务办公室【反馈/查询渠道】涉及本专业具体学业考试等问题可与所在院（系）教务老师沟通联系  校内餐饮、住宿、超市及校内经营网点等服务和校园水电气暖、教学设施等基础设施设备损坏报修等问题  【负责单位】总务部【反馈/查询渠道】一站式服务热线（24小时）：58801111  校园安保有关问题  【负责单位】保卫处【反馈/查询渠道】服务电话（24小时）：58806110  学生户籍问题  【负责单位】保卫处【反馈/查询渠道】①户籍科咨询电话：58808055②邮件咨询：sdhj@bnu.edu.cn    校园卡、校园网及校内信息平台等问题  【负责单位】信息网络中心【反馈/查询渠道】①服务电话：58808113②邮件咨询：info@bnu.edu.cn③微信客服：学校信息门户-信息网络中心-常用服务-微信在线咨询④自助报修：发邮件到http://its.bnu.edu.cn，或学校信息门户-信息网络中心-更多服务-自助报修    图书馆有关问题  【负责单位】图书馆【反馈/查询渠道】①电话咨询：馆内咨询台②服务电话：58806113/58802934③邮箱咨询：reference@bnu.edu.cn     学生档案问题  【负责单位】档案馆【反馈/查询渠道】查询——可通过网络预约办理成绩、学历证明、补档、转档等事宜。https://dangan.bnu.edu.cn/bszn/130342.html
2023-09-21,北医三院急诊报销是否需要提供转诊单？,360,校医院,    北医三院是我校公费医疗合同医院，赴急诊就医，不需要校医院开具转诊单。
2023-09-21,针对大学报销、党费报销、基金会报销据、校友会、工会报销的开票信息分别是什么呢？,154,财经处,针对大学报销票据的开票信息——名称：北京师范大学纳税人识别号：12100000400010056C地址、电话：北京新外大街19号010-58807714开户行及账号：中国银行北京文慧园支行340256015272行号：104100004520银行咨询电话：62242389针对党费报销票据的开票信息——名称：北京师范大学纳税人识别号：12100000400010056C地址、电话：北京新外大街19号010-58807714开户行及账号：中国银行北京文慧园支行340256015272行号：104100004520银行咨询电话：62242389针对基金会报销票据的开票信息——名称：北京师范大学教育基金会纳税人识别号：531100007985011538开户行及账号：中国银行北京文慧园支行  324656015336针对校友会报销票据的开票信息——名称：北京师范大学校友会纳税人识别号：51100000500012163J开户行及账号：中国银行北京文慧园支行  324668505939针对工会报销票据的开票信息——名称：中国教育工会北京师范大学委员会纳税人识别号：81110000737670674U开户行及账号：中国银行北京文慧园支行  320769425752
2023-09-21,形象陈列馆参观预约有何流程？,256,档案馆（党史研究室、校史研究室）,在学校疫情防控工作统一部署下，根据北京师范大学疫情防控暨学生返校复学工作领导小组会议的指示精神，形象陈列馆自2021年9月6日起错峰限流预约开放，并同时恢复人工讲解服务。形象陈列馆将严格落实各项疫情防控措施，确保有序安全的开放环境。一、开放时间暂定为每天上午9:00-11:00 ，下午3:00-5:00；二、开放方式为提前3-5个工作日（不含参观当日）进行电话预约参观，参观人员由所在院系或有关负责同志向校史研究室提出电话预约申请；三、单次参观人数一般不得超过50人，批次间隔以一小时间为宜，每日限额200人；四、参观当日，参观团队请持单位负责人签字并加盖单位公章的《形象陈列馆参观登记表》（网站右下角下载）；五、按预约时段自后主楼东侧经测温通道后，乘电梯到23层进入形象陈列馆；六、入馆参观时须全程佩戴口罩，与他人保持1米以上安全距离。参观人员不得在展厅内饮食集聚、追逐打闹、大声喧哗、触摸展品等，参观路线听从工作人员疏导安排；七、参观期间如有发热、咳嗽等身体不适状况，请及时联系工作人员，我们按学校应急处置预案进行处理；八、参观过程中，为了给您提供良好服务并确保您的健康，请您自觉遵守参观要求并听从工作人员的疏导。感谢您对形象陈列馆工作的配合。预约电话：  58800132  白老师     58800102  姜老师
2023-09-21,身份证补办的具体流程是什么？,238,保卫处,本人携带字迹清晰的学生卡或学生证、现金40元，到北太平庄派出所直接办理。北太平庄派出所位置：出学校西门后一直往南走，经过3个十字路口后，路西侧，全程约1500米。
2023-09-21,如何重置数字京师、校园网、电子邮箱密码呢？,87,信息化建设办公室、信息网络中心,上网账号、电子邮箱、数字京师密码可以用自助的方法进行重置：您可以在“微信门户-信息网络中心-密码重置”功能里，针对“上网认证网关密码”、“师大电子邮箱密码”、“数字京师门户密码”进行自助重置密码操作。
2023-09-21,怎么联系信息网络中心？信息网络中心服务大厅的办公时间是什么？如何关注北京师范大学微信门户呢？,70,信息化建设办公室、信息网络中心,您可以直接致电联系和反馈我们：电话：010-58808113邮箱：info@bnu.edu.cn主页：https://info.bnu.edu.cn/                                信息网络中心服务大厅服务时间：8:00-11:30，14:00-17:00（工作日）9:30-12:00，14:30-17:00（周末及节假日）了解微信门户关注流程，请访问http://wx.bnu.edu.cn/，内文有具体的操作步骤说明。
2023-09-21,校医院能否进行中药熬煎？,719,校医院,   校医院煎药室已于2021年12月正式启用，可为在校医院开草药的患者提供煎药服务。受煎药室空间和煎药机数量所限，为保证煎药质量，每日可煎药8-10人次。   欢迎有需要的师生进行预约。
2023-09-21,校医院的报销流程和时间安排是怎样的？,302,校医院,一、公费医疗报销所需材料及时间我院公费医疗定点合同医院是北京大学第三医院。报销时需要携带以下材料：1、加盖收费章的收据联。2、转诊单（就诊前开具，有效期一个月，每去一次需开具一张）。3、如有西药费、中药费必须附药品处方；检查费超过100元附检查结果。检查预约未做，待做完后带结果报销，报销时以检查报告出具时间为准。4、缴费收据上未显示收费具体项目的需打印明细清单。5、外伤需写加盖院系公章的外伤说明，写明时间、地点、受伤经过。6、报销时间为一个月内，对月不对日（例4月就诊，5月底前按规定报销时间均可报销），过期不予报销。7、特需门诊发生的医疗费用一律不予报销。8、急诊不需要转诊单，需要加盖诊断章的急诊诊断证明。9、住院报销所需材料：转诊单、加盖公章的收据、出院诊断证明、住院费用明细清单、外伤需写外伤说明（时间、地点、受伤经过、加盖院系公章）。10、人员类别及报销时间如下：（1）门诊报销时间：上午8:00-11:00，下午14:00-16:30在职教职工老师报销：周一下午，周三全天离休教职工老师、新102： 周二下午退休教职工老师：周一上午、周四全天学生：周二上午、周三全天（2）住院费用报销时间：周二上午8:00-11:00（3）寒暑假报销时间另行通知。11、 如有疑问，请拨打财务电话：58809878。二、公费医疗报销地点：   校医院二层财务科。
2022-11-04,暖气不热怎么办？,776,总务长办公室（后勤管理处）,目前为供暖试运行阶段，在此期间相关部门也在逐一排查各类问题并予以解决。如有供暖问题，请及时拨打暖维修电话010-58808270
2022-09-13,学生“临时出入校”申请选项如何恢复？,791,党委学生工作部,当学生离京或者寒暑假期间离校，系统会自动限制“临时出入校”申请权限。按照规定流程办理返校手续，扫码完成报到注册的同学，一般会批量恢复相关权限。如果遇到权限一直没有恢复的情况，请联系所在院系辅导员老师，核实具体情况后，可以帮助同学申请恢复“临时出入校”申请权限。
2022-06-19,近期离校返乡送站服务范围是否包含“丰台站”？,823,党委学生工作部,经学工部负责老师联络协调，自20日起送站服务将会增加丰台站点，具体安排请以送站车辆预约链接信息为准。
2022-06-17,近期离校返乡的同学如何获取学校送站班车预约信息？,476,党委学生工作部,学生按照要求提前报送离校返乡信息后，送站车辆的预约链接会在每天晚上七点左右点对点发送至第二天离校学生的“北师大企业号-学工在线”中。如果学工在线没有收到通知，可以联系学院负责离校信息统计和报送的辅导员老师，询问预约链接的相关情况。
2022-06-16,行李比较多，将行李送给校外的家人，目前校内可以往校外递送大件行李吗？,793,总务长办公室（后勤管理处）,这种情况可以走西中门，并且还可以在那里借推拉车，从西中门递送出去。南门和大西门由于没有缓冲区和消杀的空间，是用于人员的通道，交集行李很容易出问题。感谢您对疫情防控工作的支持和理解。
2022-06-11,什么时间办理离校退宿手续，以及在哪里办理行李存放？,372,总务长办公室（后勤管理处）,6月21日（星期二）—6月30日（星期四）下午4:30之前，住宿学生办理完毕电子离校系统中的退宿手续，地点：各宿舍楼。7月1日零点前需搬离宿舍，如有变化另行通知。学校为在本校继续攻读硕士、博士的毕业生及本科延期毕业生提供行李存放服务。存放地点:学1楼地下一层；寄存时间:5月29日至6月30日，上午8:00至11:30，下午14:00至17:00。对于其他有特殊困难需要存放行李的学生可向院（系）提出申请，经审核后上报党委学工部批准，总务部根据实际情况存放。注：由于宿舍需进行粉刷、卫生保洁等原因，原则上不安排暑期临时住宿。如有特殊情况，取得本校硕博研究生资格的毕业生可向院（系）提出申请，经审核后上报党委学工部批准，总务部根据实际情况安置。2019级延期博士生搬迁昌平校园时间另行通知。
2022-06-10,毕业生即将离校，在智慧食堂充值的余额如何退款？,849,总务长办公室（后勤管理处）,针对毕业生在智慧食堂充值结算事宜，相关的安排如下——感谢同学们的积极配合，我们共同做好相应离校前准备工作：一、6月15日起，请所有毕业生（2022届本、硕、博、留学生等）停止在智慧食堂消费，如欠费可在6月15日至6月30日充值缴纳所欠费用。二、如账户存有余额，将在7月1日毕业离校后，通过财经处把余额打到个人关联的银行卡里。三、7月1日将彻底冻结毕业生账户，消费与充值全部冻结。四、如有2022届毕业生欠费，请您尽快缴纳欠费，以免影响到毕业离校手续的办理。
2022-06-06,学校办理的学生公交卡应该怎么挂失？,287,总务长办公室（后勤管理处）,后勤商贸中心在每年3月或9月两次办理新卡和补办新卡，其他情况如挂失、补办或退卡，请自行到公交网点进行办理，需携带本人身份证和学生证原件。
2022-06-06,邮政服务什么时间可以恢复邮寄？,219,总务长办公室（后勤管理处）,目前后勤主管部门还在跟邮政公司协调具体工作，关于邮政何时营业事宜，主要取决于该公司的上级行政安排，我们会协助邮政逐步恢复营业。
2022-06-05,请问保研本校的毕业生，什么时间可以在学一地下一层寄存行李？,614,总务长办公室（后勤管理处）,学校为在本校继续攻读硕士、博士的毕业生，以及本科延期毕业生，提供行李存放服务。存放地点:学1楼地下一层；寄存时间:5月29日至6月30日，上午8:00至11:30，下午14:00至17:00。您可以前往办理手续。
2022-06-05,为什么京东快递有些物品需要开箱验货才能转寄？,386,总务长办公室（后勤管理处）,京东门店快递服务人员出于负责任的考虑，按照快递寄递要求，寄递贵重物品必须要在监控下开箱验货才能转寄。这样将来所寄物品发生损坏时，才能有所追溯，以及查清楚是在哪个环节出现的问题。最近京东618促销，很多师生在购买了物品，导致京东门店快递数量剧增。物业监管部门再一次提醒快递服务中心按照学校防疫要求，提醒领取快递的师生保持1米安全距离，拆完快递后及时拆开外包装对快递内部进行消杀。
2022-06-05,校内的水果店商品定价是否合理？,1274,总务长办公室（后勤管理处）,学生区共有水果销售点4家，分别为浴室北侧果多美水果店、小吃街北口西侧呀咪客店、小吃街北口东侧小果匠水果店，小西门平价水果店。物美超市内也在筹备水果区，目前在调整阶段。多家水果店形成市场竞争机制，每店开展不通程度促销。果多美为连锁企业，价格为总部定价与校外店价格一致，小吃街两家为对门，每天都有不同种类的促销，商贸中心对小西门平价水果店的定价和果多美每周做调研对比，实时监管。同学在购物过程中，如果发现任何有违背市场规律抬高物价或存在食品安全隐患、服务态度差等问题，随时可以通过每家店铺门口所张贴的“码”上解决系统进行在线投诉，也可拨打商户服务监督电话58806341，或者后勤服务热线58801111投诉。
2022-06-01,开学初为返校所做的核酸检测如何报销？,314,校医院,我校学生为安全返校所做核酸检测，报销所需材料为：当地定点医疗机构或当地卫生健康部门指定机构出具的收费票据（盖章有效）以及打印的核酸检测结果。票据抬头是学生本人姓名。票据时间为2022年2月8日（含）至今。每名学生限报一次核酸检测费用。另请在票据上写清学生学号和姓名。为避免排队聚集，请同学们将票据交所在学部、院系统一整理。如有疑问，请拨打电话58809878。
2022-06-01,居住在校外的毕业生，离校前如何报销医药费呢？,191,校医院,现阶段海淀区仍进行管控管理，家属区实行封闭管理，非家属区人员不能进入，如果6月底前家属区解除管控，同学可进入校医院自行报销。6月份及之前产生的就医费用可以报销，票据提交时间为7月8日前。目前阶段，也可将相关单据转交校内老师或同学帮忙报销，按照应急资料接收程序从东门将材料递进来（具体流程可咨询辅导员）。校医院财务报销咨询电话：58809878。
2022-06-01,请问因疫情未能返校的非毕业生图书到期后，应如何归还或者能否予以延期？,160,图书馆,对于因疫情未返校同学图书归还问题，图书馆主动与学工和教务部门沟通获取了相关名单，这些同学的图书，图书馆会定期统一给大家延期，直至疫情好转允许返校。在此间，您不必急着将图书通过快递寄回。如果因名单遗漏未能给您统一延期，您可以电话58806113，请工作人员给您延期，并告知将您的学工号纳入到未返校的名单中，以便后续统一延期。
2022-06-01,校外毕业生还图书馆图书报学工部审批需要单独渠道吗？,74,图书馆,   不需要，毕业生按照学校下发到各院系的大东门资料交接途径，向学院提出申请，由学院报学工部审批即可。
2022-05-31,作为2022届的毕业生，在离校前需要完成的和图书馆相关的工作有哪些呢？,90,图书馆,为高效、稳妥、便捷、有序地做好2022届毕业生离校工作，根据学校相关规定，图书馆特提出如下注意事项，希望毕业生积极配合，做好相应离校准备工作。  一、6月13日起，所有毕业生（2022届本、硕、博、留学生等）停止书刊外借，可持校园卡阅览书刊。  二、6月15日之前，请完成以下两项准备工作。  1. 还清所借书刊：总分馆及馆际互借图书  2. 通过图书馆主页提交学位/毕业论文电子版，并确认审核通过。具体内容请参见“关于毕业生提交学位论文的通知”。           咨询电话：58809922  三、凡纳入电子离校系统的毕业生完成以上流程即可，无需到馆办理离校手续。  四、凡持纸质转单的离校毕业生完成上述二项准备工作即可到馆办理盖章手续。  五、集中办理  时间：6月15日（星期三）-17日（星期五），8:30-16:30  地点：     图书馆主馆一层大厅总借还处、总咨询处（离校手续办理）/咨询电话：58806113     昌平校园G区分馆一层大厅（离校手续办理）/咨询电话：58802892     图书馆将根据疫情防控政策及时调整还书方案，敬请关注最新通知。
